day_key,date,count
1,2025-04-22,12
2,2025-04-21,38
3,2025-04-20,46
4,2025-04-19,4
5,2025-04-18,34
6,2025-04-17,22
7,2025-04-16,36
8,2025-04-15,20
9,2025-04-14,40
10,2025-04-13,12
11,2025-04-12,8
12,2025-04-11,28
13,2025-04-10,38
14,2025-04-09,38
15,2025-04-08,20
16,2025-04-07,44
17,2025-04-06,14
18,2025-04-05,10
19,2025-04-04,34
20,2025-04-03,26
21,2025-04-02,38
22,2025-04-01,80
23,2025-03-31,70
24,2025-03-30,20
25,2025-03-29,14
26,2025-03-28,30
27,2025-03-27,38
28,2025-03-26,30
29,2025-03-25,52
30,2025-03-24,60
31,2025-03-23,28
32,2025-03-22,14
33,2025-03-21,30
34,2025-03-20,32
35,2025-03-19,76
36,2025-03-18,10
37,2025-03-17,76
38,2025-03-16,8
39,2025-03-15,12
40,2025-03-14,32
41,2025-03-13,20
42,2025-03-12,46
43,2025-03-11,40
44,2025-03-10,284
45,2025-03-09,20
46,2025-03-08,88
47,2025-03-07,20
48,2025-03-06,18
49,2025-03-05,14
50,2025-03-04,14
51,2025-03-03,22
52,2025-03-02,14
53,2025-03-01,42
54,2025-02-28,14
55,2025-02-27,14
56,2025-02-26,58
57,2025-02-25,30
58,2025-02-24,66
59,2025-02-23,20
60,2025-02-22,20
61,2025-02-21,20
62,2025-02-20,34
63,2025-02-19,32
64,2025-02-18,64
65,2025-02-17,56
66,2025-02-16,82
67,2025-02-15,68
68,2025-02-14,28
69,2025-02-13,22
70,2025-02-12,18
71,2025-02-11,42
72,2025-02-10,32
73,2025-02-09,48
74,2025-02-08,12
75,2025-02-07,30
76,2025-02-06,44
77,2025-02-05,22
78,2025-02-04,26
79,2025-02-03,42
80,2025-02-02,44
81,2025-02-01,20
82,2025-01-31,24
83,2025-01-30,20
84,2025-01-29,38
85,2025-01-28,26
86,2025-01-27,18
87,2025-01-26,34
88,2025-01-25,56
89,2025-01-24,16
90,2025-01-23,24
91,2025-01-22,22
92,2025-01-21,44
93,2025-01-20,8
94,2025-01-19,54
95,2025-01-18,22
96,2025-01-17,26
97,2025-01-16,28
98,2025-01-15,28
99,2025-01-14,22
100,2025-01-13,36
101,2025-01-12,42
102,2025-01-11,24
103,2025-01-10,14
104,2025-01-09,12
105,2025-01-08,38
